timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.52968E+15,5,9,-18,7,4,2,-10,-1
1.52968E+15,-1,12,24,-7,-2,-4,1,2
1.52968E+15,4,14,29,11,-5,5,30,2
1.52968E+15,1,-15,-62,-21,-7,-6,-16,3
1.52968E+15,-7,-20,-5,-5,1,0,2,-4
1.52968E+15,1,12,7,-2,-7,-4,-5,-5
1.52968E+15,-2,-7,0,-2,4,-1,-9,-5
1.52968E+15,2,9,26,10,7,17,2,-5
1.52968E+15,-4,-19,-19,-9,-7,4,10,9
1.52968E+15,3,10,-10,1,1,-5,-9,-1
1.52968E+15,6,7,10,5,2,-5,-7,4
1.52968E+15,-7,-25,15,-2,-5,-2,-2,-5
1.52968E+15,-2,-8,-13,-4,3,6,6,-5
1.52968E+15,-1,21,16,7,5,-6,15,-2
1.52968E+15,-3,-4,-5,-2,0,0,-17,2
1.52968E+15,1,2,-2,1,-1,-4,3,4
1.52968E+15,-2,4,1,-2,0,-5,-5,-2
1.52968E+15,1,7,26,10,6,6,2,0
1.52968E+15,1,5,-49,-12,-4,0,3,4
1.52968E+15,-3,1,9,-1,0,-1,4,-6
1.52968E+15,-7,-3,39,5,-4,-5,9,-1
1.52968E+15,2,3,13,-3,-2,-5,-26,-10
1.52968E+15,-5,6,-28,-18,-4,1,-10,-5
1.52968E+15,2,-9,-19,4,4,10,5,6
1.52968E+15,5,10,12,12,0,-6,-11,-2
1.52968E+15,0,-14,-1,-5,0,13,44,6
1.52968E+15,-3,-19,14,6,-4,1,0,-16
1.52968E+15,-1,11,3,-8,-6,-12,3,-3
1.52968E+15,-1,1,4,1,10,18,3,-2
1.52968E+15,-6,-8,-37,-18,-10,-19,-22,-2
1.52968E+15,-4,-2,-20,-9,1,0,6,-6
1.52968E+15,0,11,10,2,0,1,0,7
1.52968E+15,-5,-4,11,2,-2,-14,-7,-5
1.52968E+15,3,-11,-32,-11,-7,-4,-1,-1
1.52968E+15,-3,-11,6,9,4,6,0,2
1.52968E+15,3,15,6,-4,0,-1,-2,0
1.52968E+15,-2,12,17,-4,-5,-9,-3,1
1.52968E+15,-2,-18,14,8,1,-5,-10,-4
1.52968E+15,-2,15,-3,-14,-8,-5,-2,-1
1.52968E+15,-1,-6,-7,1,-1,-7,-9,0
1.52968E+15,3,0,1,0,4,-4,15,7
1.52968E+15,-2,-11,-11,9,5,14,15,6
1.52968E+15,4,7,38,13,0,-2,15,7
1.52968E+15,-2,-8,-22,1,3,6,15,-2
1.52968E+15,2,13,-11,-10,-10,-14,-16,-10
1.52968E+15,-4,-6,35,9,0,3,4,10
1.52968E+15,-1,-16,-35,-4,1,2,4,-2
1.52968E+15,3,11,19,5,-1,-4,-1,6
