1,2,8,5,3,-1,-2,-1,2,10,11,3,1,2,0,0,-5,-8,1,-8,-4,-1,-2,-1,-1,-5,-27,-5,-3,-7,-1,1,-1,2,-6,-9,-6,-8,-2,-2,-1,-1,-5,1,2,10,-10,-1,1,6,6,3,0,-1,10,2,1,4,29,23,7,5,-4,1
-4,-8,-18,-16,-6,-9,4,-12,-2,-4,-14,-7,-3,3,-1,4,0,-2,2,2,0,-4,-2,-4,4,7,22,9,2,5,2,4,1,-3,-13,1,-1,4,0,-2,-4,-9,-4,2,0,-8,-2,2,3,6,1,4,3,1,-2,0,-4,-9,-11,-8,-2,-1,2,-2
6,11,23,6,1,2,-3,4,1,-4,9,15,2,2,3,-1,-4,0,-5,-6,-3,-2,0,3,4,12,12,-1,1,-4,-3,-3,-5,-14,-44,-9,-3,5,-1,0,-1,3,24,-1,-6,-15,-7,-3,4,7,19,19,4,4,2,-2,-3,-5,-10,-12,-5,-4,0,-4
-2,1,-10,-7,4,4,7,9,2,-2,-3,-1,1,3,2,3,-2,3,2,0,-2,-5,0,2,1,2,5,9,3,-2,-3,-3,3,3,7,5,-1,-3,2,-2,2,6,9,5,0,-3,-1,1,-5,-14,-17,-8,-4,-5,-4,-3,-2,-3,-15,-5,-3,-2,-8,-4
-5,-12,-22,-14,-4,-1,4,-1,0,15,17,8,3,1,3,1,-3,-14,-7,-1,-3,1,-3,-3,0,3,2,-2,-2,2,4,0,3,8,16,0,0,-3,-12,-3,-4,-19,-27,-11,-7,0,8,2,1,0,19,3,0,-1,1,4,-2,2,6,4,3,2,-2,-6
-2,-1,-9,3,1,-6,7,8,1,6,26,7,5,4,-8,-7,0,1,-29,-20,-3,5,-6,2,0,-1,7,-2,-2,-1,2,0,0,1,7,0,-5,-7,-10,9,-3,4,16,8,3,-1,-8,-9,4,5,0,4,4,2,14,-4,-1,-1,-9,-2,3,-3,0,3
1,8,4,4,0,1,-2,-5,0,-4,-8,4,-1,-1,-2,3,0,6,32,-4,-6,-6,-6,-4,3,5,-4,-7,1,1,8,-1,-4,-5,-16,-15,-4,6,-5,-10,-1,-5,-6,-2,-1,-1,-1,4,0,-2,2,8,6,-1,-2,-6,2,3,15,-3,-5,-10,-24,4
2,0,19,3,2,8,27,4,-3,-17,-42,-6,-2,-2,-5,-5,-2,2,0,-6,-6,5,9,6,-2,-6,-5,3,0,7,6,0,4,1,24,18,2,1,-8,-1,-4,-3,-23,-19,-7,-7,-6,-16,0,2,9,9,4,-2,15,7,-3,-7,-20,-7,-3,-1,-6,-3
4,9,38,11,1,-2,-1,1,3,5,24,8,3,4,-1,2,-5,3,-19,-2,-1,-2,-11,-9,-1,-4,-7,-13,-2,1,8,1,2,1,-4,4,-2,0,-1,-3,-3,0,-2,-12,-3,-4,0,5,-1,-13,-6,4,1,0,-1,-10,1,13,19,10,1,-4,2,4
-2,-2,-9,-3,-1,-3,-12,-4,-2,1,14,5,-3,0,8,-2,-4,-10,-47,-18,-7,-12,-10,0,-3,-7,-10,-3,-3,1,1,-2,2,5,10,-2,-2,0,-3,-1,-5,1,21,7,1,4,5,-3,-3,-11,-33,-8,2,-1,-5,2,1,-1,3,7,-2,-3,-2,-2
