-8,-7,-41,-13,-5,-2,-3,-1,-1,4,0,-4,-3,1,-1,-4,6,1,17,7,0,0,-2,3,-7,-11,-53,-19,-3,-3,-1,-7,-2,7,24,4,0,0,-1,3,-1,-7,-16,-2,-3,-1,-5,-7,-1,-3,-10,-1,-2,-6,13,3,7,5,8,4,2,2,1,9
0,10,46,14,2,0,0,-1,4,2,11,-1,-2,-2,1,6,-1,3,-24,-2,-1,0,-5,-3,-2,-8,-12,9,3,0,-2,0,5,25,45,-7,-2,-1,0,0,-4,0,1,4,2,1,0,-3,0,-4,-17,-5,-1,3,0,1,-2,2,29,-3,-4,-5,-3,-1
1,-8,-5,2,-1,-1,-5,0,-3,-1,-15,-3,-3,0,2,-5,-4,-10,-17,-5,-1,-2,-3,-3,-5,-6,22,-2,-4,-3,-4,-6,-2,-2,-48,-13,-4,5,5,-1,3,-2,-11,1,4,0,1,5,2,3,-31,3,2,0,-1,-1,-9,-16,-29,-13,-5,-2,2,0
-2,-1,29,4,0,-1,1,-4,-4,-2,-16,-1,-2,-2,2,-10,1,6,13,9,3,0,-2,1,0,3,3,0,-1,-3,-3,-1,-1,-3,-12,-9,-5,-4,-4,0,1,8,24,6,1,-4,-2,0,-2,-17,-37,-9,-2,-3,-1,-1,1,9,36,6,-2,0,0,0
5,2,14,3,4,3,4,0,-4,-12,-47,-13,-2,1,2,-3,2,-1,53,8,-1,-2,-1,1,1,11,-8,-6,-1,-3,-5,-1,-3,-3,21,6,-2,2,-1,4,2,1,-2,-3,-2,1,1,3,1,3,12,11,1,1,-2,1,3,1,26,-6,-3,-1,2,1
-6,-3,-26,-4,-3,-3,-2,-10,0,0,6,-1,0,-1,-1,0,-1,3,2,-7,-3,1,-2,1,3,14,41,27,7,6,1,-1,-9,-10,-47,-18,-5,-7,-3,-7,2,0,-8,-8,-3,-1,-4,3,1,7,-20,-5,-2,-2,0,-2,1,-3,36,13,6,3,-1,-2
-1,5,-11,0,2,-1,-2,0,5,-3,6,4,-1,-3,0,2,-2,4,45,1,-3,-3,-2,-3,-2,-2,-32,-8,4,2,0,0,-6,-8,9,4,-3,-3,1,-2,-3,-9,22,0,-3,-3,-10,-3,-4,-11,-14,-5,-4,0,5,-1,-1,6,-15,-1,-1,2,-2,4
1,3,3,8,2,-2,-3,-1,-1,-3,-14,-16,-4,1,2,6,3,0,20,3,5,1,-6,0,-8,-10,-1,-9,-6,-3,-4,-4,5,6,-6,-3,1,1,3,6,-3,7,-20,-2,1,0,4,-2,3,9,-4,10,1,1,-4,1,-7,-21,-29,-24,-6,1,11,-5
1,7,23,3,1,-1,-4,2,2,6,26,13,4,-1,2,3,-4,-14,-22,-6,-1,-1,-1,-2,1,2,-24,5,2,-1,0,-2,5,10,44,6,-1,-3,-1,1,-11,-24,-64,-19,-7,-7,-4,-8,-1,13,-20,-6,-4,0,1,0,8,1,46,15,2,0,-2,5
-1,-7,-26,-4,0,0,0,-3,3,11,35,12,1,-1,-4,2,-7,-22,-56,-20,-6,-3,0,-1,1,-7,-58,-20,-6,-3,-2,2,3,9,-1,14,5,2,3,-2,2,5,21,9,4,-1,-6,-3,-5,-6,-26,-9,-1,-3,1,-6,2,4,15,6,0,2,6,1
