-4,6,-1,-2,-6,-2,-4,-5,3,-5,1,-3,11,6,2,2,2,2,5,-2,-1,0,1,2,0,-1,5,0,-2,-6,0,-1,-3,-7,0,4,4,5,1,-2,1,9,9,1,-6,-4,-4,-3,-2,-2,2,-1,0,4,0,-2,-4,1,-7,1,-2,-5,-7,-3,4
1,-3,14,4,-8,-2,-2,-2,-2,-8,-16,-3,-2,0,-1,1,3,11,0,-3,2,6,1,2,-1,-1,-4,-4,-9,-6,-1,-2,-3,-4,-5,-3,3,-1,-2,-3,0,5,13,1,1,-1,-1,-1,-4,-26,-32,-4,-4,-5,-3,0,3,9,0,-1,7,7,4,0,4
-2,-5,-2,-2,-4,-2,1,-1,-1,0,-3,-3,0,-1,0,1,8,25,10,0,1,1,1,3,-1,7,24,8,-3,1,0,-1,-4,-20,-41,-4,5,-3,-1,-3,0,0,2,-4,-6,-5,-3,-1,1,-3,-2,-2,4,2,0,-1,-3,4,5,0,-1,-7,-4,-2,4
1,3,6,-1,2,6,2,-1,0,7,4,-2,-2,3,-1,1,0,1,0,2,-3,5,-1,-2,-2,-14,-7,0,0,-3,-1,-3,3,1,0,0,1,-3,-1,0,0,-9,-4,0,0,0,2,2,-3,4,4,-1,-2,-1,0,-2,2,3,11,3,-1,-1,1,-1,4
0,-1,-7,-2,-4,-7,-3,-4,-3,-2,-7,-5,-2,-7,-2,-2,-2,-2,2,2,13,13,7,2,1,11,9,3,4,2,3,1,-7,-12,-14,-5,-11,-13,-6,-5,4,2,-2,-4,1,5,-3,4,0,-3,-3,-6,-13,-13,-3,-1,0,9,-1,3,5,11,0,1,4
0,-14,-6,-1,7,1,4,1,-2,-4,-2,-1,-3,2,-2,-1,3,1,1,-1,2,3,-2,1,0,3,-3,-3,-3,-2,3,0,3,9,2,-5,-1,4,1,3,-2,-3,10,4,-10,-18,-2,-2,1,6,-1,2,3,11,4,-1,1,4,2,4,0,-1,1,1,4
-2,-1,-1,-1,-4,-2,-3,-1,2,-1,8,0,0,-3,0,-1,2,5,-12,-4,-3,-4,-1,1,-4,-6,-8,-3,-13,-6,-6,-3,-6,-5,-7,-1,-3,-23,-8,-4,-2,-12,-8,0,8,18,5,0,-4,-9,0,1,-4,-1,-2,-2,0,5,12,-1,1,1,2,0,4
2,3,-16,-4,-1,1,3,-1,3,7,-2,-4,-2,-5,-4,0,-4,-10,-1,-3,-4,-6,-4,-2,2,-6,3,5,-1,-2,-2,-2,1,10,8,5,1,12,2,2,-4,0,-5,-4,-1,-4,-4,-4,-2,-7,-13,-3,-4,-6,0,-1,2,-2,2,0,0,1,-2,2,4
6,11,10,5,-3,-1,1,1,-4,-21,2,1,3,3,1,1,-1,-4,4,2,-2,-6,-4,-1,-7,-9,-12,-4,-12,-6,-6,-3,3,10,5,0,-3,-7,1,1,2,8,7,1,-1,17,1,3,0,11,5,5,12,3,-1,0,0,1,-4,-1,3,8,2,-1,4
-5,-12,8,0,-6,-1,-2,1,0,3,-5,-3,-6,-8,0,-2,1,7,3,1,-3,-3,0,0,2,6,0,-1,4,1,-2,2,-10,-38,-17,-6,-3,-4,-5,-3,1,0,0,0,10,12,3,-1,-2,3,11,3,-5,-3,-2,-3,3,5,-3,2,2,-7,2,-1,4
3,21,13,7,0,4,-1,0,-2,-14,-17,1,-9,-17,-8,-3,2,-1,-2,3,1,7,3,0,-5,-9,14,0,6,-2,1,0,2,9,-13,-6,-3,3,3,1,-2,-3,-7,-5,5,2,-1,0,-5,-4,-4,-6,-7,-9,-3,-3,1,-4,-3,-5,-4,-9,-4,-3,4
4,10,5,-1,2,4,2,1,-2,18,14,1,2,-3,-2,-2,-1,-6,1,-5,4,5,3,2,-3,-7,-9,0,-1,1,2,-3,-2,-5,-5,-5,-2,2,-7,-2,2,5,7,-2,-11,-10,-1,1,6,12,17,6,9,14,3,0,0,-6,-19,-2,-1,-1,2,-2,4
-1,3,8,-1,3,-3,0,-3,-2,-1,-13,-6,-1,-2,-3,-2,-1,-2,-12,-2,-5,-10,-1,-2,-1,8,4,-2,0,8,-3,-3,-2,-15,-7,-9,7,1,6,-1,1,-14,-2,2,2,13,1,1,-2,8,0,1,-7,-13,-4,-1,1,0,-4,0,2,8,-1,2,4
-2,9,11,3,1,-3,-1,0,-2,0,-4,-1,-2,-10,0,0,-3,-6,9,-5,1,-3,-5,-4,-3,-7,-19,-5,-2,3,1,-3,3,9,6,6,2,5,-2,1,-2,8,1,-2,-6,-3,-1,-1,1,0,3,3,-2,-1,1,0,-4,-6,-9,-4,-3,-4,-2,-2,4
-3,-5,7,3,2,8,-3,1,1,8,-4,3,-2,-9,-3,-1,4,0,10,1,3,2,1,3,0,7,-15,-5,-5,-3,-3,-1,-3,-27,-1,-2,-8,-6,-2,-1,5,3,-4,0,5,10,4,1,-2,-3,4,0,1,3,1,1,-4,-9,3,0,-2,-2,-3,-2,4
0,2,-2,-7,-10,-5,-5,0,-3,1,19,2,4,-6,-2,-3,-7,-13,-40,-7,1,5,2,-4,2,-2,4,1,-2,6,4,1,-4,-1,-4,1,2,-6,1,-3,0,-5,6,0,2,12,4,1,3,6,-2,-2,0,-1,-1,2,2,1,10,2,-1,-4,-2,0,4
3,9,5,-2,0,3,0,2,0,1,9,3,0,-7,0,0,-4,-5,-11,-2,0,-1,0,-2,-5,-14,-14,0,-5,-3,-1,-3,0,2,-2,2,-1,-1,4,0,-1,4,2,0,1,2,2,-1,0,1,6,-1,-6,-10,-5,-2,0,-9,3,-3,-2,-1,0,1,4
1,13,1,5,5,13,2,1,-1,-1,-1,3,-2,3,0,0,0,-11,-6,-1,-4,-6,-3,-2,1,17,6,-1,2,-4,1,1,1,-8,-6,-2,-1,-2,-4,-3,-2,-1,1,-3,-1,0,-3,-1,-1,3,9,6,-4,-8,-1,-2,0,5,-6,-1,-3,-3,-8,-3,4
-3,-3,4,-4,0,8,-2,-2,-2,-3,-16,-2,-5,-7,-2,0,-1,0,0,1,3,2,3,1,-4,-19,-6,-4,-5,-9,-4,-1,-3,-14,-6,-4,-2,8,1,0,1,2,-29,-8,-8,-2,-1,-1,-2,9,12,6,3,-1,-3,-2,5,18,14,3,5,-2,3,2,4
